Packet Index,Arrival Time,GeneratingTime,Flow Delay (sec),MulticastIdx,GWDelay,UEDelay,Protocol
243.0,38.2377419472,24.9616451263,13.276096820900001,1.0,2000.0,500.0,3GPP
244.0,38.3450469971,25.0650491714,13.2799978257,1.0,2000.0,500.0,3GPP
245.0,38.4515120983,25.1693241596,13.282187938700002,1.0,2000.0,500.0,3GPP
246.0,38.5475671291,25.2723419666,13.275225162500004,1.0,2000.0,500.0,3GPP
247.0,38.6473929882,25.3756930828,13.271699905399995,1.0,2000.0,500.0,3GPP
248.0,38.7515280247,25.4785220623,13.2730059624,1.0,2000.0,500.0,3GPP
249.0,38.8573179245,25.5810871124,13.276230812100003,1.0,2000.0,500.0,3GPP
250.0,38.9580340385,25.6843571663,13.273676872200003,1.0,2000.0,500.0,3GPP
251.0,39.0679590702,25.7867150307,13.281244039499995,1.0,2000.0,500.0,3GPP
252.0,39.172645092,25.8895440102,13.283101081800002,1.0,2000.0,500.0,3GPP
253.0,39.2712650299,25.9922201633,13.2790448666,1.0,2000.0,500.0,3GPP
254.0,39.3808751106,26.0953600407,13.2855150699,1.0,2000.0,500.0,3GPP
255.0,39.4770998955,26.1983041763,13.278795719199998,1.0,2000.0,500.0,3GPP
256.0,39.5855669975,26.301099062,13.284467935500004,1.0,2000.0,500.0,3GPP
257.0,39.6880528927,26.4044201374,13.283632755300001,1.0,2000.0,500.0,3GPP
258.0,39.7875680924,26.508972168,13.278595924400001,1.0,2000.0,500.0,3GPP
259.0,39.8923950195,26.6117041111,13.2806909084,1.0,2000.0,500.0,3GPP
260.0,39.9953100681,26.7152810097,13.280029058399997,1.0,2000.0,500.0,3GPP
261.0,40.1002500057,26.8196051121,13.280644893599998,1.0,2000.0,500.0,3GPP
262.0,40.2087469101,26.9223849773,13.286361932799998,1.0,2000.0,500.0,3GPP
263.0,40.309789896,27.0249631405,13.2848267555,1.0,2000.0,500.0,3GPP
264.0,40.4162659645,27.1285550594,13.287710905099999,1.0,2000.0,500.0,3GPP
265.0,40.5118780136,27.2322921753,13.279585838299997,1.0,2000.0,500.0,3GPP
266.0,40.620980978,27.3354270458,13.2855539322,1.0,2000.0,500.0,3GPP
267.0,40.7269380093,27.4386479855,13.288290023799998,1.0,2000.0,500.0,3GPP
268.0,40.8255259991,27.5416531563,13.283872842800001,1.0,2000.0,500.0,3GPP
269.0,40.9316699505,27.6448581219,13.286811828600001,1.0,2000.0,500.0,3GPP
270.0,41.0302040577,27.7480490208,13.282155036899997,1.0,2000.0,500.0,3GPP
271.0,41.1362009049,27.8505370617,13.285663843200002,1.0,2000.0,500.0,3GPP
272.0,41.238683939,27.9530141354,13.285669803599998,1.0,2000.0,500.0,3GPP
273.0,41.3378500938,28.0556020737,13.282248020099999,1.0,2000.0,500.0,3GPP
274.0,41.4499049187,28.1591720581,13.290732860599999,1.0,2000.0,500.0,3GPP
275.0,41.5557200909,28.2613511086,13.294368982300004,1.0,2000.0,500.0,3GPP
276.0,41.6540710926,28.3639831543,13.290087938299997,1.0,2000.0,500.0,3GPP
277.0,41.7671589851,28.4680421352,13.299116849899995,1.0,2000.0,500.0,3GPP
278.0,41.8660120964,28.5732409954,13.292771101,1.0,2000.0,500.0,3GPP
279.0,41.9698860645,28.6758439541,13.294042110400003,1.0,2000.0,500.0,3GPP
280.0,42.0751109123,28.7803931236,13.294717788699998,1.0,2000.0,500.0,3GPP
281.0,42.1810910702,28.8832249641,13.297866106099999,1.0,2000.0,500.0,3GPP
282.0,42.282253027,28.9885041714,13.293748855600004,3.0,2000.0,500.0,3GPP
283.0,42.3845169544,29.092208147,13.292308807399998,3.0,2000.0,500.0,3GPP
284.0,42.4910709858,29.1955029964,13.295567989400002,3.0,2000.0,500.0,3GPP
285.0,42.5929861069,29.2989430428,13.294043064099998,3.0,2000.0,500.0,3GPP
286.0,42.6994290352,29.40173316,13.297695875199999,3.0,2000.0,500.0,3GPP
287.0,42.8050329685,29.5045311451,13.300501823400001,3.0,2000.0,500.0,3GPP
288.0,42.9110600948,29.6074969769,13.303563117900001,3.0,2000.0,500.0,3GPP
289.0,43.0122489929,29.7101111412,13.3021378517,3.0,2000.0,500.0,3GPP
290.0,43.1302289963,29.8126690388,13.317559957499999,3.0,2000.0,500.0,3GPP
291.0,43.2219219208,29.915831089,13.306090831799999,3.0,2000.0,500.0,3GPP
292.0,43.3275871277,30.0200150013,13.3075721264,3.0,2000.0,500.0,3GPP
293.0,43.4415550232,30.1229641438,13.318590879400002,3.0,2000.0,500.0,3GPP
294.0,43.5349550247,30.2257971764,13.309157848299996,3.0,2000.0,500.0,3GPP
295.0,43.6415739059,30.3285319805,13.313041925400004,3.0,2000.0,500.0,3GPP
296.0,43.7459390163,30.4322750568,13.313663959500001,3.0,2000.0,500.0,3GPP
297.0,43.8607509136,30.536303997,13.3244469166,3.0,2000.0,500.0,3GPP
298.0,43.9558260441,30.6388671398,13.316958904300002,3.0,2000.0,500.0,3GPP
299.0,44.0612909794,30.7414259911,13.319864988299997,3.0,2000.0,500.0,3GPP
300.0,44.1618659496,30.8444650173,13.3174009323,3.0,2000.0,500.0,3GPP
301.0,44.2674889565,30.9474639893,13.320024967200002,3.0,2000.0,500.0,3GPP
302.0,44.368074894,31.051074028,13.317000866000004,3.0,2000.0,500.0,3GPP
303.0,44.4765040875,31.1543669701,13.322137117399997,3.0,2000.0,500.0,3GPP
304.0,44.5828089714,31.2571671009,13.3256418705,3.0,2000.0,500.0,3GPP
305.0,44.6852340698,31.3595190048,13.325715065000004,3.0,2000.0,500.0,3GPP
306.0,44.7883369923,31.4618999958,13.326436996500004,3.0,2000.0,500.0,3GPP
307.0,44.8910939693,31.5650320053,13.326061964,3.0,2000.0,500.0,3GPP
308.0,44.992470026,31.6674981117,13.3249719143,3.0,2000.0,500.0,3GPP
309.0,45.102077961,31.7710380554,13.3310399056,3.0,2000.0,500.0,3GPP
310.0,45.2049329281,31.8741071224,13.330825805699998,3.0,2000.0,500.0,3GPP
311.0,45.3200490475,31.9774060249,13.3426430226,3.0,2000.0,500.0,3GPP
312.0,45.4105889797,32.0799291134,13.330659866300003,3.0,2000.0,500.0,3GPP
313.0,45.5112481117,32.184098959,13.327149152699995,3.0,2000.0,500.0,3GPP
